contig_id,proteins
Acholeplasma phage MV-L51,4
Acholeplasma virus L2,16
Achromobacter phage 83-24,61
Achromobacter phage JWAlpha,91
Achromobacter phage JWF,118
Achromobacter phage JWX,67
Achromobacter phage Mano,64
Achromobacter phage Motura,344
Achromobacter phage phiAxp-1,64
Achromobacter phage phiAxp-2,86
Achromobacter phage phiAxp-3,80
Achromobacter phage vB_AxyP_19-32_Axy04,80
Achromobacter phage vB_AxyP_19-32_Axy10,83
Achromobacter phage vB_AxyP_19-32_Axy11,81
Achromobacter phage vB_AxyP_19-32_Axy12,82
Achromobacter phage vB_AxyP_19-32_Axy24,82
Acidianus bottle-shaped virus,57
Acidianus bottle-shaped virus 2,54
Acidianus bottle-shaped virus 3,66
Acidianus filamentous virus 1,40
Acidianus filamentous virus 2,52
Acidianus filamentous virus 3,68
Acidianus filamentous virus 6,66
Acidianus filamentous virus 7,57
Acidianus filamentous virus 8,61
Acidianus filamentous virus 9,73
Acidianus rod-shaped virus 1,41
Acidianus rod-shaped virus 2,43
Acidianus spindle-shaped virus 1,38
Acidianus tailed spindle virus,95
Acidianus two-tailed virus,72
Acidovorax phage ACP17,253
Acinetobacter phage AB1,85
Acinetobacter phage AB3,29
Acinetobacter phage AM101,250
Acinetobacter phage AP205,4
Acinetobacter phage AP22,89
Acinetobacter phage AbKT21phiIII,42
Acinetobacter phage AbP2,88
Acinetobacter phage AbTZA1,253
Acinetobacter phage Abp1,54
Acinetobacter phage Ac42,255
Acinetobacter phage Acj61,241
Acinetobacter phage Acj9,253
Acinetobacter phage Apostate,244
Acinetobacter phage Berthold,250
Acinetobacter phage Fri1,54
Acinetobacter phage IME-AB2,82
Acinetobacter phage IME200,54
Acinetobacter phage IMEAB3,57
Acinetobacter phage KARL-1,253
Acinetobacter phage Kimel,252
Acinetobacter phage Konradin,249
Acinetobacter phage LZ35,83
Acinetobacter phage Lazarus,247
Acinetobacter phage Loki,51
Acinetobacter phage Petty,45
Acinetobacter phage Presley,95
Acinetobacter phage SH-Ab 15519,51
Acinetobacter phage SWH-Ab-1,48
Acinetobacter phage SWH-Ab-3,49
Acinetobacter phage VB_ApiP_XC38,97
Acinetobacter phage WCHABP1,89
Acinetobacter phage WCHABP12,88
Acinetobacter phage WCHABP5,47
Acinetobacter phage YMC-13-01-C62,84
Acinetobacter phage YMC/09/02/B1251,62
Acinetobacter phage YMC11/11/R3177,80
Acinetobacter phage YMC11/12/R2315,85
Acinetobacter phage YMC13/03/R2096,162
Acinetobacter phage ZZ1,256
Acinetobacter phage phiAB1,46
Acinetobacter phage phiAB6,45
Acinetobacter phage phiAC-1,82
Acinetobacter phage vB_AbaM_Acibel004,156
Acinetobacter phage vB_AbaM_B09_Aci01-1,163
Acinetobacter phage vB_AbaM_B09_Aci02-2,171
Acinetobacter phage vB_AbaM_B09_Aci05,160
Acinetobacter phage vB_AbaM_ME3,326
Acinetobacter phage vB_AbaM_PhT2,246
Acinetobacter phage vB_AbaM_phiAbaA1,165
Acinetobacter phage vB_AbaP_46-62_Aci07,52
Acinetobacter phage vB_AbaP_AS11,51
Acinetobacter phage vB_AbaP_AS12,49
Acinetobacter phage vB_AbaP_Acibel007,53
Acinetobacter phage vB_AbaP_B09_Aci08,53
Acinetobacter phage vB_AbaP_B1,51
Acinetobacter phage vB_AbaP_B3,49
Acinetobacter phage vB_AbaP_B5,53
Acinetobacter phage vB_AbaP_D2,47
Acinetobacter phage vB_AbaP_PD-6A3,48
Acinetobacter phage vB_AbaP_PD-AB9,48
Acinetobacter phage vB_AbaS_TRS1,70
Acinetobacter phage vB_ApiM_fHyAci03,247
Acinetobacter phage vB_ApiP_P1,49
Acinetobacter phage vB_ApiP_P2,54
Acinetobacter virus 133,257
Actinomyces virus Av1,22
Actinoplanes phage phiAsp2,76
Aeribacillus phage AP45,73
Aeromonas phage 2-L372D,217
Aeromonas phage 25AhydR2PP,51
Aeromonas phage 2_D05,83
Aeromonas phage 2_L372X,211
Aeromonas phage 4_4572,154
Aeromonas phage 4_D05,74
Aeromonas phage 4_L372D,251
Aeromonas phage 4_L372XY,221
Aeromonas phage 50AhydR13PP,245
Aeromonas phage 60AhydR15PP,247
Aeromonas phage AS-gz,237
Aeromonas phage AS-sw,406
Aeromonas phage AS-zj,402
Aeromonas phage Aes012,243
Aeromonas phage Aes508,234
Aeromonas phage Ah1,332
Aeromonas phage AhSzq-1,143
Aeromonas phage AhSzw-1,141
Aeromonas phage Ahp1,46
Aeromonas phage BUCT551,74
Aeromonas phage CC2,427
Aeromonas phage CF7,49
Aeromonas phage LAh9,147
Aeromonas phage LAh_6,164
Aeromonas phage LAh_7,75
Aeromonas phage LAh_8,143
Aeromonas phage PX29,330
Aeromonas phage ZPAH7,29
Aeromonas phage pAh6-C,86
Aeromonas phage pIS4-A,78
Aeromonas phage phiA8-29,185
Aeromonas phage phiAS4,271
Aeromonas phage phiAS5,343
Aeromonas phage phiAS7,51
Aeromonas phage vB_AhyS-A18P4,73
Aeromonas phage vB_AsaM-56,83
Aeromonas virus 25,242
Aeromonas virus 31,247
Aeromonas virus 44RR2,252
Aeromonas virus 65,437
Aeromonas virus Aeh1,352
Aeromonas virus phiO18P,45
Aeropyrum coil-shaped virus,57
Aeropyrum globular virus 1,33
Aeropyrum pernix bacilliform virus 1,14
Aeropyrum pernix ovoid virus 1,21
Aeropyrum pernix spindle-shaped virus 1,53
Aggregatibacter phage S1249,66
Agrobacterium phage 7-7-1,127
Agrobacterium phage Atu_ph02,55
Agrobacterium phage Atu_ph03,58
Agrobacterium phage Atu_ph07,714
Agrobacterium phage OLIVR1,108
Agrobacterium phage OLIVR5,259
Alphaproteobacteria virus phiJl001,90
Alteromonas phage vB_AcoS-R7M,67
Alteromonas phage vB_AmaP_AD45-P1,120
Alteromonas phage vB_AmeM_PT11-V22,156
Alteromonas virus vB_AspP-H4/4,49
Anabaena phage A-4L,38
Anoxybacillus phage A403,61
Aquamicrobium phage P14,48
Archaeal BJ1 virus,70
Arthrobacter phage Abba,71
Arthrobacter phage Abidatro,66
Arthrobacter phage Adat,56
Arthrobacter phage Amigo,86
Arthrobacter phage Andrew,71
Arthrobacter phage Anjali,27
Arthrobacter phage BarretLemon,79
Arthrobacter phage Beans,73
Arthrobacter phage Bennie,62
Arthrobacter phage BigMack,61
Arthrobacter phage Brent,74
Arthrobacter phage Bridgette,71
Arthrobacter phage CaptnMurica,88
Arthrobacter phage Circum,99
Arthrobacter phage Colucci,114
Arthrobacter phage Constance,70
Arthrobacter phage Coral,72
Arthrobacter phage Decurro,26
Arthrobacter phage DrManhattan,72
Arthrobacter phage DrRobert,59
Arthrobacter phage DrYang,105
Arthrobacter phage Eileen,63
Arthrobacter phage Galaxy,65
Arthrobacter phage Gisselle,61
Arthrobacter phage Glenn,64
Arthrobacter phage Gordon,89
Arthrobacter phage GreenHearts,62
Arthrobacter phage Greenhouse,61
Arthrobacter phage HunterDalle,60
Arthrobacter phage Huntingdon,61
Arthrobacter phage Jasmine,57
Arthrobacter phage Jawnski,73
Arthrobacter phage Joann,63
Arthrobacter phage Judy,72
Arthrobacter phage KBurrousTX,107
Arthrobacter phage KellEzio,98
Arthrobacter phage Kepler,75
Arthrobacter phage Kitkat,100
Arthrobacter phage Kittykat,65
Arthrobacter phage Korra,59
Arthrobacter phage Kuleana,76
Arthrobacter phage Laroye,99
Arthrobacter phage LiSara,96
Arthrobacter phage Liebe,69
Arthrobacter phage Litotes,62
Arthrobacter phage Lymara,109
Arthrobacter phage Maja,56
Arthrobacter phage MamaPearl,60
Arthrobacter phage Martha,77
Arthrobacter phage Mendel,28
Arthrobacter phage Molivia,92
Arthrobacter phage Mudcat,95
Arthrobacter phage Mufasa8,104
Arthrobacter phage Nubia,61
Arthrobacter phage Oxynfrius,62
Arthrobacter phage Peas,68
Arthrobacter phage Piccoletto,74
Arthrobacter phage Preamble,64
Arthrobacter phage PrincessTrina,112
Arthrobacter phage Pumancara,61
Arthrobacter phage Salgado,99
Arthrobacter phage Sergei,60
Arthrobacter phage Shade,77
Arthrobacter phage Sonali,99
Arthrobacter phage Sonny,77
Arthrobacter phage Tank,105
Arthrobacter phage TripleJ,82
Arthrobacter phage Urla,62
Arthrobacter phage Vibaki,78
Arthrobacter phage Wawa,62
Arthrobacter phage Wayne,63
Arthrobacter phage Wheelbite,94
Arthrobacter phage Yang,68
Arthrobacter phage Zartrosa,79
Arthrobacter phage vB_ArS-ArV2,68
Arthrobacter phage vB_ArtM-ArV1,101
Aurantimonas phage AmM-1,67
Azobacteroides phage ProJPt-Bp1,52
Azospirillum phage Cd,95
Bacillus phage 0305phi8-36,246
Bacillus phage AR9,291
Bacillus phage Aurora,40
Bacillus phage AvesoBmore,301
Bacillus phage B4,277
Bacillus phage B5S,272
Bacillus phage BCD7,140
Bacillus phage BCJA1c,58
Bacillus phage BCP78,227
Bacillus phage BCP8-2,220
Bacillus phage BCU4,223
Bacillus phage BPS10C,271
Bacillus phage BPS13,268
Bacillus phage BSP38,254
Bacillus phage BalMu-1,56
Bacillus phage Bam35c,32
Bacillus phage Baseball_field,32
Bacillus phage Bastille,273
Bacillus phage BceA1,63
Bacillus phage Bcp1,229
Bacillus phage BeachBum,30
Bacillus phage Belinda,295
Bacillus phage BigBertha,291
Bacillus phage Bobb,247
Bacillus phage Bp8p-C,211
Bacillus phage Bp8p-T,211
Bacillus phage BtCS33,57
Bacillus phage CAM003,287
Bacillus phage CP-51,221
Bacillus phage CampHawk,233
Bacillus phage Carmen17,51
Bacillus phage Claudi,46
Bacillus phage DIGNKC,291
Bacillus phage DK1,49
Bacillus phage DK2,45
Bacillus phage DK3,46
Bacillus phage DLc1,50
Bacillus phage Deep Blue,226
Bacillus phage Deep-Purple,40
Bacillus phage DirtyBetty,302
Bacillus phage Eldridge,238
Bacillus phage Evoli,294
Bacillus phage Eyuki,300
Bacillus phage Fah,50
Bacillus phage GIL16c,31
Bacillus phage Gamma,53
Bacillus phage Grass,252
Bacillus phage Gxv1,34
Bacillus phage Hakuna,294
Bacillus phage Harambe,33
Bacillus phage Hoody T,270
Bacillus phage JBP901,201
Bacillus phage JL,218
Bacillus phage Juan,34
Bacillus phage Karezi,34
Bacillus phage Kida,304
Bacillus phage KonjoTrouble,40
Bacillus phage MG-B1,42
Bacillus phage Mater,241
Bacillus phage Megatron,290
Bacillus phage Mgbh1,80
Bacillus phage Moonbeam,237
Bacillus phage Nemo,301
Bacillus phage Nf,27
Bacillus phage Nigalana,302
Bacillus phage NotTheCreek,296
Bacillus phage PBC1,50
Bacillus phage PM1,86
Bacillus phage PZA,27
Bacillus phage Page,50
Bacillus phage Palmer,50
Bacillus phage Pascal,50
Bacillus phage Pavlov,50
Bacillus phage PfEFR-4,67
Bacillus phage PfEFR-5,68
Bacillus phage Phrodo,288
Bacillus phage Pony,48
Bacillus phage Pookie,52
Bacillus phage QCM11,41
Bacillus phage Riley,290
Bacillus phage SIOphi,206
Bacillus phage SP-10,236
Bacillus phage SP-15,317
Bacillus phage SPG24,43
Bacillus phage SPP1,97
Bacillus phage SageFayge,300
Bacillus phage SalinJah,292
Bacillus phage SerPounce,44
Bacillus phage Shanette,220
Bacillus phage Shbh1,177
Bacillus phage Slash,111
Bacillus phage Spock,283
Bacillus phage Stahl,110
Bacillus phage Staley,113
Bacillus phage Stills,110
Bacillus phage Stitch,36
Bacillus phage TP21-L,56
